"vocab_1"|"1"|"啊"|"啊"|"ā"|"ah"|"interjection"
"vocab_1"|"2"|"啊"|"啊"|"a"|"ah"|"particle"
"vocab_1"|"3"|"矮"|"矮"|"ǎi"|"short; low"|"adjective"
"vocab_1"|"4"|"愛"|"爱"|"ài"|"love"|"verb"
"vocab_1"|"5"|"愛人"|"爱人"|"àirén"|"husband; wife; sweetheart"|"noun"
"vocab_1"|"6"|"安靜"|"安静"|"ānjìng"|"quiet; peaceful"|"adjective"
"vocab_1"|"7"|"安排"|"安排"|"ānpái"|"plan; arrange"|"verb, noun"
"vocab_1"|"8"|"八"|"八"|"bā"|"eight"|"number"
"vocab_1"|"9"|"把"|"把"|"bǎ"|"bunch"|"measure_word"
"vocab_1"|"10"|"把"|"把"|"bǎ"|"(function word)"|"preposition"
"vocab_1"|"11"|"爸爸"|"爸爸"|"bàba"|"pa; dad; father"|"noun"
"vocab_1"|"12"|"吧"|"吧"|"ba"|"(modal particle ending a sentence)"|"particle"
"vocab_1"|"13"|"白"|"白"|"bái"|"white; blank"|"adjective"
"vocab_1"|"14"|"百"|"百"|"bǎi"|"hundred"|"number"
"vocab_1"|"15"|"擺"|"摆"|"bǎi"|"put; put on; sway"|"verb"
"vocab_1"|"16"|"班"|"班"|"bān"|"class; team"|"noun, measure_word"
"vocab_1"|"17"|"搬"|"搬"|"bān"|"move; carry"|"verb"
"vocab_1"|"18"|"半"|"半"|"bàn"|"half; halfway"|"number"
"vocab_1"|"19"|"半天"|"半天"|"bàntiān"|"half a day; a long time"|"noun"
"vocab_1"|"20"|"辦"|"办"|"bàn"|"do; deal with"|"verb"
"vocab_1"|"21"|"辦法"|"办法"|"bànfǎ"|"way; means; measure"|"noun"
"vocab_1"|"22"|"辦公室"|"办公室"|"bàngōngshì"|"office"|"noun"
"vocab_1"|"23"|"幫助"|"帮助"|"bāngzhù"|"help; assist; aid"|"verb"
"vocab_1"|"24"|"飽"|"饱"|"bǎo"|"be full"|"adjective"
"vocab_1"|"25"|"抱"|"抱"|"bào"|"hug; embrace"|"verb"
"vocab_1"|"26"|"報"|"报"|"bào"|"newspaper; gazette"|"noun"
"vocab_1"|"27"|"杯"|"杯"|"bēi"|"cup; glass"|"noun, measure_word"
"vocab_1"|"28"|"杯子"|"杯子"|"bēizi"|"cup; glass"|"noun"
"vocab_1"|"29"|"北"|"北"|"běi"|"north"|"noun"
"vocab_1"|"30"|"北邊"|"北边"|"běibiān"|"north; north side"|"noun"
